Date,Low,Open,Volume,High,Close,Adjusted Close
11-03-1994,20.625,20.625,2359000,20.875,20.875,7.660531044006348
14-03-1994,20.625,20.75,536500,20.75,20.625,7.568782806396484
15-03-1994,20.625,20.625,215700,20.75,20.625,7.568782806396484
16-03-1994,20.625,20.625,338600,21.375,21.375,7.8440117835998535
17-03-1994,20.875,21.375,195900,21.375,21.125,7.752269744873047
18-03-1994,20.75,21.125,285700,21.125,21.0,7.706399917602539
21-03-1994,20.875,21.0,38900,21.0,20.875,7.660531044006348
22-03-1994,20.75,20.875,78400,20.875,20.75,7.6146559715271
23-03-1994,20.75,20.75,209200,21.5,21.25,7.798138618469238
24-03-1994,21.0,21.125,155000,21.125,21.0,7.706399917602539
25-03-1994,21.0,21.0,91500,21.125,21.0,7.706399917602539
28-03-1994,20.875,21.0,111200,21.125,21.125,7.752269744873047
29-03-1994,20.625,21.125,101200,21.125,20.625,7.568782806396484
30-03-1994,20.375,20.625,105000,20.75,20.5,7.5229082107543945
31-03-1994,20.5,20.5,108300,20.625,20.625,7.568782806396484
04-04-1994,20.0,20.375,42300,20.375,20.125,7.385298252105713
05-04-1994,20.25,20.25,55600,20.875,20.75,7.6146559715271
06-04-1994,20.75,20.75,31800,20.875,20.875,7.660531044006348
07-04-1994,20.75,20.875,52000,21.0,20.75,7.6146559715271
08-04-1994,20.5,20.75,24000,20.75,20.5,7.5229082107543945
11-04-1994,20.375,20.5,44400,20.625,20.375,7.477041721343994
12-04-1994,20.25,20.375,15100,20.5,20.5,7.5229082107543945
13-04-1994,20.375,20.5,30500,20.5,20.375,7.477041721343994
14-04-1994,20.375,20.375,38800,20.5,20.375,7.477041721343994
15-04-1994,20.125,20.375,12200,20.5,20.125,7.385298252105713
18-04-1994,20.125,20.125,39800,20.375,20.125,7.385298252105713
19-04-1994,20.25,20.25,24500,20.375,20.25,7.431174278259277
20-04-1994,20.125,20.25,72000,20.25,20.25,7.431174278259277
21-04-1994,20.25,20.25,15000,20.375,20.25,7.431174278259277
22-04-1994,20.125,20.25,20700,20.5,20.5,7.5229082107543945
25-04-1994,20.25,20.5,27300,20.5,20.25,7.431174278259277
26-04-1994,20.375,20.375,64000,20.5,20.5,7.5229082107543945
28-04-1994,20.5,20.5,27100,20.75,20.625,7.568782806396484
29-04-1994,20.5,20.625,5500,20.625,20.5,7.5229082107543945
02-05-1994,20.5,20.5,11700,20.625,20.625,7.568782806396484
03-05-1994,20.375,20.625,29000,20.625,20.5,7.5229082107543945
04-05-1994,20.25,20.5,39600,20.5,20.25,7.431174278259277
05-05-1994,20.125,20.25,7600,20.375,20.375,7.477041721343994
06-05-1994,20.0,20.375,13600,20.375,20.125,7.385298252105713
09-05-1994,20.125,20.125,3700,20.25,20.25,7.431174278259277
10-05-1994,20.125,20.25,75100,20.25,20.25,7.431174278259277
11-05-1994,20.125,20.25,81400,20.375,20.25,7.431174278259277
12-05-1994,20.25,20.25,7100,20.375,20.25,7.431174278259277
13-05-1994,20.25,20.25,14500,20.375,20.25,7.431174278259277
16-05-1994,20.125,20.25,12600,20.375,20.25,7.431174278259277
17-05-1994,20.125,20.25,13400,20.375,20.125,7.385298252105713
18-05-1994,20.125,20.125,6700,20.375,20.375,7.477041721343994
19-05-1994,20.375,20.375,36500,20.5,20.5,7.5229082107543945
20-05-1994,20.5,20.5,26800,20.75,20.5,7.5229082107543945
23-05-1994,20.625,20.625,36200,21.0,21.0,7.706399917602539
24-05-1994,20.875,21.0,116200,21.375,21.375,7.8440117835998535
25-05-1994,21.625,21.625,283300,21.875,21.75,7.981625080108643
26-05-1994,21.5,21.625,50200,21.625,21.5,7.889886379241943
27-05-1994,21.375,21.5,10000,21.625,21.375,7.8440117835998535
31-05-1994,21.375,21.375,41400,21.5,21.5,7.889886379241943
01-06-1994,21.5,21.5,166300,21.875,21.75,7.981625080108643
02-06-1994,21.75,21.75,243600,21.875,21.75,7.981625080108643
03-06-1994,21.75,21.75,42400,21.875,21.75,7.981625080108643
06-06-1994,21.875,21.875,87200,22.75,22.625,8.302728652954102
07-06-1994,21.875,22.625,19700,22.625,21.875,8.027498245239258
