Date,Low,Open,Volume,High,Close,Adjusted Close
17-11-1995,8.09375,8.125,35659200,8.71875,8.625,6.626387596130371
20-11-1995,8.1875,8.59375,8434000,8.8125,8.3125,6.386297702789307
21-11-1995,7.9375,8.25,6440000,8.28125,8.15625,6.266255855560303
22-11-1995,8.125,8.125,3480800,8.53125,8.40625,6.458323001861572
24-11-1995,8.4375,8.46875,1279200,8.71875,8.71875,6.6984124183654785
27-11-1995,8.625,8.71875,2403200,8.90625,8.75,6.722416400909424
28-11-1995,8.5,8.75,1054800,8.78125,8.625,6.626387596130371
29-11-1995,8.5625,8.59375,1331200,8.96875,8.75,6.722416400909424
30-11-1995,8.8125,8.84375,2426000,9.1875,9.09375,6.986512184143066
01-12-1995,8.9375,9.09375,978400,9.125,9.0,6.914486408233643
04-12-1995,8.84375,9.03125,594000,9.09375,8.90625,6.84246301651001
05-12-1995,8.625,8.90625,1148800,8.90625,8.78125,6.746430397033691
06-12-1995,8.75,8.75,1216000,9.0,8.8125,6.770436763763428
07-12-1995,8.6875,8.875,641200,8.90625,8.75,6.722416400909424
08-12-1995,8.625,8.71875,668800,8.96875,8.96875,6.890480995178223
11-12-1995,8.96875,9.0,660000,9.09375,9.09375,6.986512184143066
12-12-1995,8.71875,9.03125,971600,9.0625,8.75,6.722416400909424
13-12-1995,8.53125,8.8125,528400,8.8125,8.6875,6.674402713775635
14-12-1995,8.4375,8.71875,639200,8.71875,8.4375,6.482330322265625
15-12-1995,8.34375,8.5,1366400,8.5625,8.375,6.434314250946045
18-12-1995,8.25,8.375,741600,8.40625,8.28125,6.362287998199463
19-12-1995,8.21875,8.25,643600,8.53125,8.4375,6.482330322265625
20-12-1995,8.46875,8.46875,360400,8.6875,8.625,6.626387596130371
21-12-1995,8.5625,8.59375,301600,8.78125,8.6875,6.674402713775635
22-12-1995,8.625,8.71875,208400,8.75,8.75,6.722416400909424
26-12-1995,8.5,8.71875,240000,8.71875,8.53125,6.554357051849365
27-12-1995,8.625,8.625,351600,8.84375,8.84375,6.794443607330322
28-12-1995,8.78125,8.875,344400,8.90625,8.8125,6.770436763763428
29-12-1995,8.65625,8.78125,219200,8.84375,8.71875,6.6984124183654785
02-01-1996,8.65625,8.71875,169200,8.78125,8.75,6.722416400909424
03-01-1996,8.65625,8.78125,682000,8.9375,8.71875,6.6984124183654785
04-01-1996,8.53125,8.75,414800,8.8125,8.65625,6.650393486022949
05-01-1996,8.28125,8.53125,773600,8.59375,8.4375,6.482330322265625
08-01-1996,8.375,8.4375,48800,8.46875,8.46875,6.506341457366943
09-01-1996,8.375,8.5,864000,8.5,8.375,6.434314250946045
10-01-1996,8.125,8.28125,458400,8.375,8.28125,6.362287998199463
11-01-1996,8.3125,8.3125,477600,8.5625,8.46875,6.506341457366943
12-01-1996,8.40625,8.4375,338400,8.6875,8.6875,6.674402713775635
15-01-1996,8.625,8.6875,580800,8.75,8.65625,6.650393486022949
16-01-1996,8.21875,8.59375,512800,8.59375,8.4375,6.482330322265625
17-01-1996,8.125,8.3125,126400,8.375,8.375,6.434314250946045
18-01-1996,8.03125,8.28125,696000,8.34375,8.15625,6.266255855560303
19-01-1996,8.0625,8.15625,792800,8.1875,8.09375,6.218237400054932
22-01-1996,8.09375,8.09375,568800,8.46875,8.3125,6.386297702789307
23-01-1996,8.15625,8.25,798400,8.28125,8.15625,6.266255855560303
24-01-1996,8.125,8.125,776400,8.28125,8.28125,6.362287998199463
25-01-1996,8.25,8.25,1303200,8.5625,8.5625,6.578365325927734
26-01-1996,8.5,8.5625,634800,8.59375,8.5625,6.578365325927734
29-01-1996,8.375,8.59375,652000,8.59375,8.4375,6.482330322265625
30-01-1996,8.375,8.4375,2810800,9.40625,9.25,7.106555938720703
31-01-1996,9.125,9.1875,1136400,9.53125,9.21875,7.08254861831665
