Date,Low,Open,Volume,High,Close,Adjusted Close
22-06-1988,4.625,0.0,18200,4.75,4.625,2.719078540802002
23-06-1988,4.25,0.0,51100,4.5,4.25,2.4986114501953125
24-06-1988,4.375,0.0,11800,4.375,4.375,2.5720996856689453
27-06-1988,4.25,0.0,13200,4.375,4.25,2.4986114501953125
28-06-1988,4.0,0.0,16200,4.25,4.0,2.3516345024108887
29-06-1988,4.125,0.0,8900,4.25,4.125,2.4251229763031006
30-06-1988,4.375,0.0,47300,4.5,4.375,2.5720996856689453
01-07-1988,4.75,0.0,29100,4.875,4.75,2.7925662994384766
05-07-1988,4.625,0.0,14000,4.875,4.625,2.719078540802002
06-07-1988,4.5,0.0,20000,4.625,4.5,2.6455883979797363
07-07-1988,4.5,0.0,6900,4.625,4.5,2.6455883979797363
08-07-1988,4.375,0.0,9300,4.5,4.375,2.5720996856689453
11-07-1988,4.375,0.0,31400,4.5,4.375,2.5720996856689453
12-07-1988,4.375,0.0,3600,4.625,4.375,2.5720996856689453
13-07-1988,4.5,0.0,2800,4.625,4.5,2.6455883979797363
14-07-1988,4.375,0.0,26400,4.625,4.375,2.5720996856689453
15-07-1988,4.375,0.0,13000,4.625,4.375,2.5720996856689453
18-07-1988,4.25,0.0,10500,4.5,4.25,2.4986114501953125
19-07-1988,4.125,0.0,7500,4.375,4.125,2.4251229763031006
20-07-1988,3.875,0.0,31400,4.125,3.875,2.2781453132629395
21-07-1988,4.0,0.0,13200,4.125,4.0,2.3516345024108887
22-07-1988,3.875,0.0,21100,4.125,3.875,2.2781453132629395
25-07-1988,3.875,0.0,2000,4.125,3.875,2.2781453132629395
26-07-1988,3.875,0.0,26900,4.0,3.875,2.2781453132629395
27-07-1988,3.875,0.0,1900,4.0,3.875,2.2781453132629395
28-07-1988,3.875,0.0,10300,4.0,3.875,2.2781453132629395
29-07-1988,3.875,0.0,14200,4.0,3.875,2.2781453132629395
01-08-1988,4.0,0.0,19700,4.125,4.0,2.3516345024108887
02-08-1988,3.875,0.0,17500,4.125,3.875,2.2781453132629395
03-08-1988,3.75,0.0,33600,4.0,3.75,2.204657793045044
04-08-1988,3.625,0.0,1300,3.875,3.625,2.131169080734253
05-08-1988,3.75,0.0,2900,3.875,3.75,2.204657793045044
08-08-1988,3.75,0.0,9400,3.875,3.75,2.204657793045044
09-08-1988,3.5,0.0,26000,3.625,3.5,2.0576798915863037
10-08-1988,3.25,0.0,41100,3.375,3.25,1.9107025861740112
11-08-1988,3.375,0.0,8900,3.5,3.375,1.984191656112671
12-08-1988,3.375,0.0,2000,3.5,3.375,1.984191656112671
15-08-1988,3.25,0.0,12500,3.375,3.25,1.9107025861740112
16-08-1988,3.125,0.0,13700,3.375,3.125,1.837214708328247
17-08-1988,2.75,0.0,43200,2.875,2.75,1.6167486906051636
18-08-1988,2.75,0.0,15500,2.875,2.75,1.6167486906051636
19-08-1988,2.75,0.0,13400,2.875,2.75,1.6167486906051636
22-08-1988,2.625,0.0,12400,2.75,2.625,1.5432599782943726
23-08-1988,2.75,0.0,21500,2.875,2.75,1.6167486906051636
24-08-1988,2.625,0.0,5500,2.75,2.625,1.5432599782943726
25-08-1988,2.625,0.0,800,2.75,2.625,1.5432599782943726
26-08-1988,2.875,0.0,14500,2.875,2.875,1.6902376413345337
29-08-1988,2.75,0.0,3900,2.875,2.75,1.6167486906051636
30-08-1988,2.75,0.0,1000,2.875,2.75,1.6167486906051636
31-08-1988,2.75,0.0,6200,2.875,2.75,1.6167486906051636
01-09-1988,2.75,2.75,0,2.75,2.75,1.6167486906051636
02-09-1988,2.75,0.0,400,2.875,2.75,1.6167486906051636
06-09-1988,2.75,0.0,7300,2.875,2.75,1.6167486906051636
07-09-1988,2.375,0.0,16400,2.5,2.375,1.3962831497192383
08-09-1988,2.875,0.0,102000,3.0,2.875,1.6902376413345337
09-09-1988,3.25,0.0,143900,3.25,3.25,1.9107025861740112
12-09-1988,3.125,0.0,10300,3.25,3.125,1.837214708328247
13-09-1988,2.875,0.0,15500,3.0,2.875,1.6902376413345337
